create_time|ip_location|user_id|nickname|content|isWakeSpammer
1712062923|上海|6890820432|德约不夺25个大满贯不改名|哈哈哈，关于中国的除了老龄化和生育率下滑，其他没一个靠谱|1
1712090572|福建|2435935953|英燚燚|小国要研发无人潜艇，或者巨型鱼雷，用很慢的速度部署在重要水道，发现来犯军舰唤醒攻击|0
1712066380|陕西|6437279952|人总要有所坚信|赶紧去精神病院看看吧以免耽误治疗|1
1712081304|江苏|7523678933|haku小粉红|那奇怪了，之前的锆石是从哪里打出来的？难道是军港里直接发射的吗？|1
1712065035|安徽|2936834854|深藏Blue_star皆空|中国快速进入老年社会，生育率继续下滑VS中国的房地产再一次强劲复苏，经济腾飞……这两个天然敌对的，怎么可能同时发生？|0
1712082212|云南|7887698896|用户7887698896|如此海军价值何在？|1
1712064265|北京|2245172435|吾心荡漾尔心飞扬|没睡醒吧|1
1712084865|江西|7893937983|普拉多29448|那还要这个舰队干嘛？留着浪费电吗|1
1712067819|北京|1261072830|我就是一个画图的|但凡有俩菜，至于喝成这样？|1
1712077536|河北|2173375143|投射光影|转发微博|0
1712090998|四川|1875235237|蛙先生-A|除了第八条  全部都不会发生  |0
1712086529|湖南|7333942229|木栖201704|原来国内这么多🐶|1
1712063668|广东|3828161422|凌天魂隐|有期望是好事，但期望越大，失望越大，我跟你说过很多次，做人要脚踏实地！呐！这里有一份洗厕所的工作，你先做着！|1
1712083490|山东|7309993576|蟹皇堡YL|不是被乌克兰打怕，是被整个欧盟＋美国打大残了。|0
1712067208|山东|6940077523|一本正经一根筋|我有一个想法，不知道可不可以，就是我们能不能把房地产行业发展到国外，这样既能带动其他国家经济的发展又能解开我国目前的困局，不知可行否。|0
1712069307|安徽|1725461947|葵文阁|没有一条是对的|1
1712062292|浙江|7758296199|用户7758296199|吹房地产就算了|1
1712063879|广东|3883718291|合艺电商|中国的经济由于房地产强劲复苏带动起来，这条依据是什么|0
1712069244|吉林|7767334494|超级顶呱呱_|除了进入老年社会生育率下滑，其它的都是废话，反话！|1
1712062319|山西|6400701857|软软的董|赶紧上盘花生米|1
1712070595|广西|5836308201|邕州六哥|有点新闻联播的味道，可以反着看|1
1712071665|澳大利亚|7887735038|qnxaogng|中国房地产难以强劲，有支付能力刚性需求不足。现今应基本停批住宅商旅写字楼用地，严控工业用地。|0
1712079193|湖南|7580752344|欣欣对星星|上述事件大部分会发生，但不是一年两年，十年内有可能。|0
1712067068|四川|7584068145|MR-大厨|俄乌战争结束，乌克兰还存在吗？100%被瓜分|0
